X,Y,Z
-0.29518947,-0.07907636,-7.551947e-05
-0.2880333,-0.07833007,-9.2757924e-05
-0.28737167,-0.08043365,-8.0617756e-05
-0.27112052,-0.071926974,-9.138283e-05
-0.28557763,-0.07422908,-0.00048751288
-0.2916516,-0.07775252,-6.594535e-06
-0.2726536,-0.08333499,1.7179389e-05
-0.2723173,-0.077474326,-6.141343e-06
-0.28595182,-0.036580883,1.8187426e-06
-0.2416937,-0.060988788,1.9685397e-06
-0.2726817,-0.03968467,-1.3842704e-05
-0.2516161,-0.052922547,2.1437014e-05
-0.24934404,-0.02881254,1.1033174e-05
-0.26188016,-0.0061469255,-2.2983511e-05
-0.24174821,-0.010762758,-6.1230996e-05
-0.2650805,-0.005119184,-1.5926893e-05
-0.2655592,-0.0066969017,-5.5578876e-05
-0.26659963,0.021822117,-2.1481208e-06
-0.26817787,0.017185733,-3.6695894e-06
-0.26224676,0.039937206,3.69907e-06
-0.24727057,0.01592494,-2.3239836e-06
-0.2666942,0.044695187,9.799965e-06
-0.24306166,0.034527954,3.5759207e-05
-0.24229707,0.036516745,-1.5568537e-06
-0.23815295,0.046211127,-1.2369892e-07
-0.2350559,0.024876958,-8.958945e-06
-0.24792291,0.045310196,-2.5299396e-05
-0.24131927,0.016484778,-1.4760113e-05
-0.25123343,0.025759846,-8.677506e-06
