Timestamp,Sonar_Distance_1,Confidence_1,Sonar_Distance_2,Confidence_2,Sonar_Distance_3,Confidence_3,IMU_Linear_Acc_X,IMU_Linear_Acc_Y,IMU_Linear_Acc_Z,IMU_Angular_Vel_X,IMU_Angular_Vel_Y,IMU_Angular_Vel_Z
1727325452.8707411,674.0,100.0,1487.0,9.0,0.0,0.0,0.4004889130592346,-0.7206552624702455,9.548795700073242,0.007432699669152499,-0.002013146411627531,0.0038743016775697474
1727325452.9605587,674.0,100.0,1534.0,8.0,0.0,0.0,0.4435378909111023,-0.7232380509376527,9.647003173828125,0.027188658714294434,-0.020393731072545055,-0.02567470073699951
1727325453.0502734,671.0,100.0,1534.0,8.0,0.0,0.0,0.5868534445762635,-0.6379256248474121,9.69332790374756,0.04813968762755395,-0.029827654361724854,-0.012709199450910093
1727325453.1376874,671.0,100.0,1534.0,8.0,0.0,0.0,0.7763072848320008,-0.4855296015739441,9.746170043945312,0.03652422875165939,-0.016738470643758774,0.008185206912457945
1727325453.233565,671.0,100.0,1606.0,0.0,0.0,0.0,0.8786289095878602,-0.40870243310928345,9.838686943054201,0.033386051654815674,0.0162616390734911,0.03161281719803811
1727325453.3179693,667.0,100.0,1606.0,0.0,0.0,0.0,0.8155949115753174,-0.4130104184150696,9.820266723632812,0.012254715897142889,0.044596191495656974,0.05876272916793823
1727325453.4073625,667.0,100.0,1606.0,0.0,0.0,0.0,0.6212982535362245,-0.43597984313964844,9.651618003845217,-0.0034734609071165328,0.044241551309824,0.062172114849090576
1727325453.5017524,667.0,100.0,1653.0,9.0,0.0,0.0,0.31443190574645996,-0.4954160153865815,9.485045433044435,-0.02009570598602295,0.021144749596714977,0.03836005926132202
1727325453.5906003,663.0,100.0,1653.0,9.0,0.0,0.0,0.2367670387029648,-0.6439175605773926,9.496161460876467,-0.012215971946716309,0.017957391217350963,0.027993321418762207
1727325453.680077,663.0,100.0,1653.0,9.0,0.0,0.0,0.3400311172008515,-0.6801960468292236,9.627596855163576,0.013983250595629217,-0.015260279178619385,0.038090351969003684
1727325453.774544,663.0,100.0,1693.0,9.0,0.0,0.0,0.6049826741218568,-0.612683892250061,9.78635025024414,0.03217906132340432,-0.019484758377075195,0.09223967790603638
1727325453.8612103,660.0,100.0,1693.0,9.0,0.0,0.0,0.7631632685661317,-0.5167737007141113,9.887951850891115,0.04123598337173462,0.013634563423693182,0.11014342308044434
1727325453.8985634,660.0,100.0,1693.0,9.0,0.0,0.0,0.7747907042503358,-0.4723585247993469,9.95675563812256,0.0370129980146885,-0.0029549004975706343,0.09598582983016968
1727325453.9518957,660.0,100.0,1693.0,9.0,0.0,0.0,0.7663779258728027,-0.43608689308166504,9.963640213012695,0.023865699768066406,0.028386713936924938,0.0683233216404915
1727325453.9898012,660.0,100.0,1693.0,9.0,0.0,0.0,0.6984531879425049,-0.4387553334236145,9.980339050292969,0.022612510249018673,0.0297352634370327,0.046347077935934074
1727325454.0466437,660.0,100.0,1763.0,9.0,0.0,0.0,0.5409293174743652,-0.4170129597187043,9.80339241027832,0.017195940017700195,0.031386319547891624,0.03462880849838257
1727325454.0850413,657.0,100.0,1763.0,9.0,0.0,0.0,0.4190733730793,-0.3967124521732331,9.66666030883789,0.011950732208788397,0.030760467052459717,0.03269762173295022
1727325454.1390166,657.0,100.0,1763.0,9.0,0.0,0.0,0.328302949666977,-0.397827297449112,9.468931198120117,0.009506940841674805,0.0032037501223385334,0.03701895847916604
1727325454.1778266,657.0,100.0,1763.0,9.0,0.0,0.0,0.2420121729373932,-0.3748233914375305,9.357593536376953,0.0030621893238276248,-0.006769598927348853,0.04875064641237259
1727325454.2671864,657.0,100.0,1763.0,9.0,0.0,0.0,0.33370754122734075,-0.41820722818374634,9.440513610839844,-0.0036969783250242476,-0.013504923321306707,0.04927515983581543
1727325454.3568845,654.0,100.0,1819.0,17.0,0.0,0.0,0.4984188675880432,-0.4360374510288239,9.651127815246584,-0.00645071268081665,-0.025516752153635025,0.05184711143374444
1727325454.4462771,654.0,100.0,1819.0,17.0,0.0,0.0,0.6790582537651063,-0.44712951779365545,9.826547622680664,-0.014269351959228516,-0.025238098576664928,0.04238784313201904
1727325454.5304496,654.0,100.0,1819.0,17.0,0.0,0.0,0.6820353865623475,-0.45266860723495483,9.873756408691406,-0.022266805171966553,-0.01453161332756281,0.003375113010406494
1727325454.625296,650.0,100.0,1850.0,8.0,0.0,0.0,0.5582094192504883,-0.4701949059963227,9.871953964233398,-0.022374093532562256,-0.011040271259844305,-0.04710257053375244
1727325454.715199,650.0,100.0,1850.0,8.0,0.0,0.0,0.41280049085617065,-0.5294891595840454,9.686681747436523,-0.028085708618164062,-0.012803078629076483,-0.07845163345336914
1727325454.8000665,650.0,100.0,1850.0,8.0,0.0,0.0,0.447529822587967,-0.5995410680770874,9.591804504394531,-0.026985999196767807,-0.027416644617915157,-0.08660106360912323
1727325454.8737962,647.0,100.0,1883.0,0.0,0.0,0.0,0.611019790172577,-0.6101686358451844,9.62297248840332,-0.011502207256853582,-0.0356823205947876,-0.08243471384048462
1727325454.9473355,647.0,100.0,1883.0,0.0,0.0,0.0,0.8562000393867494,-0.6613124012947084,9.714184761047365,0.0010251998901367188,-0.02367347478866577,-0.09753855317831041
1727325455.0367417,647.0,100.0,1883.0,0.0,0.0,0.0,0.9959911704063417,-0.5840559601783754,9.706565856933594,0.01631230115890503,0.0065237293019890785,-0.13943614065647128
1727325455.1313589,647.0,100.0,2047.0,10.0,0.0,0.0,0.8746991157531738,-0.5339581966400146,9.711648941040039,0.026960674673318863,0.0395461954176426,-0.19305944442749023
1727325455.2167983,644.0,100.0,2047.0,10.0,0.0,0.0,0.5873391628265381,-0.466538816690445,9.654517173767092,0.02268403954803944,0.0561252236366272,-0.20646156370639804
1727325455.306119,644.0,100.0,2047.0,10.0,0.0,0.0,0.38404422998428345,-0.44768261909484863,9.535928726196289,0.016923245042562485,0.0453174076974392,-0.20852982997894287
1727325455.4005725,644.0,100.0,2108.0,9.0,0.0,0.0,0.30707848072052,-0.3357604146003723,9.531282424926758,0.0044226651079952726,0.011254847049713135,-0.17902703583240512
1727325455.489835,641.0,100.0,2108.0,9.0,0.0,0.0,0.48236382007598877,-0.3076193332672119,9.66767978668213,-0.0016674400540068748,-0.015343727543950081,-0.14732183516025546
1727325455.5742822,641.0,100.0,2108.0,9.0,0.0,0.0,0.6559320688247681,-0.3080517649650574,9.812143325805664,-0.02000481076538563,-0.006340444087982178,-0.1010999083518982
1727325455.610229,641.0,100.0,2108.0,9.0,0.0,0.0,0.7463169097900391,-0.29325544834136963,9.89651393890381,-0.02219229750335217,-0.012229381129145622,-0.0767558738589287
1727325455.6687639,638.0,100.0,2140.0,9.0,0.0,0.0,0.7869349718093872,-0.3380261957645417,9.921784400939943,-0.03585219383239746,0.010159611701965332,-0.056992474943399436
1727325455.7071667,638.0,100.0,2140.0,9.0,0.0,0.0,0.7682915925979614,-0.3422911465168,9.975890159606935,-0.04474819079041482,0.00960975978523493,-0.05681515485048294
1727325455.760759,638.0,100.0,2140.0,9.0,0.0,0.0,0.6970744729042054,-0.359891027212143,9.931860923767092,-0.05134642869234085,0.022126736119389537,-0.05882531404495239
1727325455.798941,638.0,100.0,2140.0,9.0,0.0,0.0,0.6466816067695619,-0.4058066308498383,9.913245201110842,-0.054650016129016876,0.013461710885167122,-0.05963445827364922
1727325455.8526452,638.0,100.0,2140.0,9.0,0.0,0.0,0.546035647392273,-0.4568864703178406,9.722251892089844,-0.05289613455533981,0.014431775547564031,-0.06493628025054932
1727325455.890429,638.0,100.0,2140.0,9.0,0.0,0.0,0.5239163637161255,-0.4999699592590332,9.66970443725586,-0.050592433661222465,0.012528898194432259,-0.0734686926007271
